id,key,value,type
279249517,railway,tram_stop,regular
279249517,operator,香港鐵路有限公司 MTR Corporation,regular
279249517,light_rail,yes,regular
279249517,start_date,1988-09-18,regular
279249517,public_transport,stop_position,regular
279249521,railway,crossing,regular
279249878,ref,W561,regular
279249878,railway,switch,regular
279249882,railway,level_crossing,regular
279249882,barrier,no,crossing
279249884,railway,railway_crossing,regular
279249920,railway,switch,regular
279249950,railway,crossing,regular
279249950,crossing,uncontrolled,regular
279256134,railway,level_crossing,regular
279256134,supervised,no,regular
279256134,barrier,no,crossing
279256136,ref,400,regular
279256136,name,屏山 Ping Shan,regular
279256136,en,Ping Shan,name
279256136,zh,屏山,name
279256136,network,輕鐵 Light Rail,regular
279256136,railway,tram_stop,regular
279256136,operator,香港鐵路有限公司 MTR Corporation,regular
279256136,light_rail,yes,regular
279256136,start_date,1988-09-18,regular
279256136,public_transport,stop_position,regular
279256137,railway,level_crossing,regular
279256137,supervised,no,regular
279256137,barrier,no,crossing
279256138,railway,level_crossing,regular
279256138,supervised,no,regular
279256138,barrier,no,crossing
279256140,railway,level_crossing,regular
279256140,supervised,no,regular
279256140,barrier,no,crossing
279256141,ref,390,regular
279256141,name,塘坊村 Tong Fong Tsuen,regular
279256141,en,Tong Fong Tsuen,name
279256141,zh,塘坊村,name
279256141,network,輕鐵 Light Rail,regular
279256141,railway,tram_stop,regular
279256141,operator,香港鐵路有限公司 MTR Corporation,regular
279256141,light_rail,yes,regular
279256141,start_date,1988-09-18,regular
279256141,public_transport,stop_position,regular
279256144,railway,railway_crossing,regular
279256147,ref,Mn38,regular
279256147,railway,level_crossing,regular
279256147,supervised,no,regular
279256147,barrier,no,crossing
279442590,railway,crossing,regular
279442590,crossing,traffic_signals,regular
279442592,ref,425,regular
279442592,name,坑尾村 Hang Mei Tsuen,regular
279442592,en,Hang Mei Tsuen,name
279442592,zh,坑尾村,name
279442592,network,輕鐵 Light Rail,regular
279442592,railway,tram_stop,regular
279442592,operator,香港鐵路有限公司 MTR Corporation,regular
279442592,light_rail,yes,regular
279442592,start_date,1993-01-10,regular
279442592,public_transport,stop_position,regular
279442612,ref,445,regular
279442612,name,天耀 Tin Yiu,regular
279442612,en,Tin Yiu,name
279442612,zh,天耀,name
279442612,network,輕鐵 Light Rail,regular
279442612,railway,tram_stop,regular
279442612,operator,香港鐵路有限公司 MTR Corporation,regular
279442612,light_rail,yes,regular
279442612,start_date,1993-01-10,regular
279442612,public_transport,stop_position,regular
279442636,barrier,no,crossing
279442636,railway,level_crossing,regular
279442636,supervised,no,regular
279442637,ref,448,regular
279442637,name,樂湖 Locwood,regular
279442637,en,Locwood,name
279442637,zh,樂湖,name
279442637,network,輕鐵 Light Rail,regular
279442637,railway,tram_stop,regular
279442637,operator,香港鐵路有限公司 MTR Corporation,regular
279442637,light_rail,yes,regular
279442637,start_date,1993-01-10,regular
279442637,public_transport,stop_position,regular
279442708,highway,crossing,regular
279442708,crossing,traffic_signals,regular
279443716,highway,crossing,regular
279443716,crossing,island,regular
279444441,highway,crossing,regular
279444441,crossing,traffic_signals,regular
279444555,railway,level_crossing,regular
279444555,supervised,no,regular
279444555,barrier,no,crossing
279446821,highway,crossing,regular
279446821,crossing,island,regular
279446822,bus,yes,regular
279446822,public_transport,stop_position,regular
279447018,railway,level_crossing,regular
279447018,supervised,no,regular
279447018,barrier,no,crossing
279447190,highway,crossing,regular
279447190,crossing,traffic_signals,regular
279447193,highway,crossing,regular
279447193,crossing,traffic_signals,regular
279447216,highway,crossing,regular
279447216,crossing,traffic_signals,regular
279447393,highway,turning_loop,regular
279447559,ref,460,regular
279447559,name,天瑞 Tin Shui,regular
279447559,en,Tin Shui,name
279447559,zh,天瑞,name
279447559,network,輕鐵 Light Rail,regular
279447559,railway,tram_stop,regular
279447559,operator,香港鐵路有限公司 MTR Corporation,regular
279447559,light_rail,yes,regular
279447559,start_date,1993-01-10,regular
279447559,public_transport,stop_position,regular
279447561,railway,level_crossing,regular
279447561,supervised,no,regular
279447561,barrier,no,crossing
279447562,railway,crossing,regular
279447562,crossing,uncontrolled,regular
279447571,ref,490,regular
279447571,name,翠湖 Chestwood,regular
279447571,en,Chestwood,name
279447571,zh,翠湖,name
279447571,network,輕鐵 Light Rail,regular
279447571,railway,tram_stop,regular
279447571,operator,香港鐵路有限公司 MTR Corporation,regular
279447571,light_rail,yes,regular
279447571,start_date,1995-03-26,regular
279447571,public_transport,stop_position,regular
279447573,railway,switch,regular
279447662,railway,level_crossing,regular
279447662,supervised,no,regular
279447662,barrier,no,crossing
279447664,ref,455,regular
279447664,name,銀座 Ginza,regular
279447664,en,Ginza,name
279447664,zh,銀座,name
279447664,network,輕鐵 Light Rail,regular
279447664,railway,tram_stop,regular
279447664,operator,香港鐵路有限公司 MTR Corporation,regular
279447664,light_rail,yes,regular
279447664,start_date,2003-12-07,regular
279447664,public_transport,stop_position,regular
279447715,railway,level_crossing,regular
279447715,supervised,no,regular
279447715,barrier,no,crossing
279447972,ref,450,regular
279447972,name,天湖 Tin Wu,regular
279447972,en,Tin Wu,name
279447972,zh,天湖,name
279447972,network,輕鐵 Light Rail,regular
279447972,railway,tram_stop,regular
279447972,operator,香港鐵路有限公司 MTR Corporation,regular
279447972,light_rail,yes,regular
279447972,start_date,2003-12-07,regular
279447972,public_transport,stop_position,regular
279448176,ref,435,regular
279448176,name,天慈 Tin Tsz,regular
279448176,en,Tin Tsz,name
279448176,zh,天慈,name
279448176,network,輕鐵 Light Rail,regular
279448176,railway,tram_stop,regular
279448176,operator,香港鐵路有限公司 MTR Corporation,regular
279448176,light_rail,yes,regular
279448176,start_date,2003-12-07,regular
279448176,public_transport,stop_position,regular
279448177,railway,level_crossing,regular
279448177,supervised,no,regular
279448177,barrier,no,crossing
279448431,ref,430,regular
279448431,name,天水圍 Tin Shui Wai,regular
279448431,en,Tin Shui Wai,name
279448431,zh,天水圍,name
279448431,network,輕鐵 Light Rail,regular
279448431,railway,tram_stop,regular
